Neutron_Porosity,Deep_Resistivity,Medium_Resistivity,Gamma_Ray,Density,DTC
0.153,2.6388,2.6855,14.0231,2.5134,75.8304
0.1551,2.6594,2.6945,14.6457,2.5085,75.36399999999999
0.1469,2.6425,2.6482,14.8459,2.5048,74.9151
0.1442,2.6215,2.6004,13.2664,2.5078,74.9464
0.1425,2.6234,2.5869999999999997,12.5315,2.5009,75.2256
0.1392,2.6579,2.6228,13.3883,2.4984,75.4542
0.1408,2.7168,2.6974,14.5353,2.5378,75.6126
0.1383,2.7831,2.78,16.7107,2.5803,75.8621
0.1392,2.844,2.8452,18.789,2.5909,76.2968
0.1485,2.8956,2.8897,20.5274,2.5726,77.0381
0.155,2.9395,2.9142,22.7808,2.5325,78.1532
0.155,2.9748,2.9097,23.2247,2.5156,79.2841
0.1561,3.0004,2.8877,20.2112,2.5271,79.9953
0.1546,3.0172,2.8773,17.1506,2.5333,79.8909
0.151,3.0243,2.8879,17.212,2.5269999999999997,79.4745
0.1522,3.0199,2.9003,17.5431,2.5213,78.9055
0.1498,3.0085,2.9004,17.8674,2.5343,78.0805
0.1438,3.0081,2.9102,17.2963,2.5341,77.4148
0.1391,3.035,2.9547,17.6269,2.5377,77.2448
0.1381,3.0929,3.0309,18.3378,2.5461,77.4758
0.1384,3.1676,3.11,18.4168,2.5597,77.5967
0.13699999999999998,3.2352,3.1558,17.9477,2.5628,77.4687
0.1351,3.2834,3.161,17.4491,2.5667,76.9453
0.1285,3.3306,3.1873,15.9224,2.5777,76.3629
0.1159,3.4198,3.3427,16.5749,2.5841,75.9977
0.1059,3.5618,3.6488,20.3258,2.5727,76.0617
0.0988,3.7194,4.0051,21.9512,2.5594,76.594
0.0912,3.8279,4.2287,23.0045,2.569,77.3072
0.0864,3.8629,4.2615,22.9396,2.5653,77.6025
0.0843,3.8704,4.2473,20.3003,2.568,76.7172
0.0831,3.9171,4.3443,13.1942,2.5876,74.3507
0.0831,4.0274,4.5973,8.6187,2.6048,70.7914
0.0801,4.1475,4.8986,8.332,2.5981,67.4886
0.0768,4.2229,5.113,9.3923,2.5863,65.6092
0.0781,4.2416,5.159,10.0978,2.6038,64.9703
0.0823,4.2372,5.083,10.6508,2.6231,65.17
0.0849,4.2468,4.9845,10.3164,2.5873,65.6126
0.0879,4.2786,4.9008,9.6914,2.5528,65.742
0.0863,3.5548,4.0692,6.3904,2.4594,61.407
0.1306,2.8224,2.9365,5.2958,2.4942,60.8783
0.0951,2.6668,3.1457,6.2066,2.0234,67.1512
0.0948,2.6944,3.1713,5.6313,2.123,66.9743
0.0922,2.7854,3.2656,5.6835,2.2954,65.9947
0.092,2.8689999999999998,3.3974,6.6061,2.5145,65.24600000000001
0.0944,2.9548,3.5409,6.7814,2.5540000000000003,64.4117
0.0976,3.0215,3.6456,7.4018,2.5419,63.6227
0.1009,3.0565,3.682,7.5672,2.5248,62.8768
0.1041,3.0543,3.6374,7.0095,2.51,62.2493
0.1037,3.0212,3.5318,5.1839,2.4968,61.8293
0.1002,2.9866,3.4294,5.0360000000000005,2.5084,61.7127
0.0992,2.9652,3.3575,6.4048,2.5354,61.9295
0.0995,2.9636,3.3285,6.3413,2.5557,62.3176
0.0984,2.9841,3.3466,6.2175,2.5519,62.7282
0.0944,3.0253,3.4124,6.3822,2.5422,63.0317
0.0921,3.0749,3.5037,5.3932,2.5266,63.2039
0.0908,3.1216,3.5912,5.1474,2.5191,63.2812
0.0896,3.1597,3.657,6.5458,2.5236,63.2943
0.0879,3.1860000000000004,3.6894,7.1731,2.5379,63.3023
0.0869,3.1993,3.6834,6.1289,2.549,63.3227
0.087,3.2006,3.653,5.2017,2.5437,63.3335
0.0878,3.1923,3.6132,5.1121,2.5436,63.3156
0.0898,3.174,3.5632,5.8529,2.5495,63.2393
0.0936,3.1459,3.5017,5.3192,2.5556,63.1954
0.1,3.1096,3.4267,5.3904,2.5486,63.2279
0.1047,3.073,3.3515,6.6365,2.5219,63.2502
0.1063,3.0436,3.2931,7.42,2.5047,63.2693
0.1057,3.0218,3.2536,7.3984,2.5063,63.32
0.1043,3.0047,3.2291,6.8197,2.5205,63.4498
0.1033,2.9869,3.2094,7.3933,2.5277,63.7164
0.1014,2.9563,3.1741,7.641,2.5171,64.0352
0.0978,2.9134,3.1205,5.9533,2.522,64.3022
0.0973,2.8638,3.0567,4.784,2.5262,64.4325
0.1012,2.8135,2.9908,5.3988,2.5192,64.38600000000001
0.1081,2.7697,2.9322,6.2297,2.4962,64.2847
0.1087,2.7413,2.8917,6.2829999999999995,2.4754,64.1936
0.1081,2.7277,2.8682,6.8751,2.4708,64.1825
0.1107,2.7234,2.8565,7.6467,2.4766,64.311
0.1134,2.7236,2.852,6.444,2.4822,64.5658
0.1114,2.7231,2.8489,6.4292,2.4794,64.892
0.1071,2.716,2.8391,7.9174,2.4822,65.1697
0.1042,2.7011,2.8208,6.236000000000001,2.5033,65.3052
0.1039,2.6836,2.8018,5.3038,2.517,65.2365
0.1037,2.6676,2.7876,5.5278,2.5176,64.9594
0.1026,2.6572,2.7819,6.9519,2.504,64.6251
0.1073,2.6571,2.7856,8.2064,2.4771,64.4565
0.1218,2.6682,2.7908,8.0811,2.4619,64.5972
0.1309,2.6839,2.7893,6.629,2.4531,65.0453
0.1334,2.6989,2.7761,4.7783,2.447,65.635
0.1317,2.7082,2.748,6.0721,2.4429,66.2441
0.1326,2.7072,2.7038,6.9879999999999995,2.4459999999999997,66.8923
0.1309,2.6952,2.6523,7.6192,2.4501,67.6193
0.1287,2.6832,2.6141,8.4557,2.4329,68.5334
0.1304,2.6781,2.6032,7.0713,2.4104,69.3852
0.136,2.6849,2.6297,5.7567,2.3956,69.9178
0.1404,2.7059,2.6993,7.218,2.3972,70.0322
0.1324,2.7384,2.8107,8.7028,2.4222,69.6153
0.1131,2.7685,2.9233,6.8244,2.4523,68.5159
0.0989,2.7894,3.013,5.532,2.4929,66.9505
0.0959,2.7976,3.0663,4.6688,2.537,65.5581
0.1029,2.7918,3.0765,4.8586,2.5675,64.7383
0.1054,2.7683,3.0363,5.4529,2.5451,64.5014
0.1057,2.7288,2.9504,5.9071,2.5204,64.7507
0.1117,2.6766,2.8286,6.973,2.4908,65.521
0.1215,2.6163,2.6815,5.4917,2.4546,66.5643
0.1252,2.6636,2.5316,7.0639,2.4742,68.2416
0.1257,2.7571,2.6663,6.2804,2.4723,70.3935
0.1303,2.8521,2.7994,7.6821,2.4669,72.5861
0.1347,2.9291,2.8939,12.0421,2.4972,74.7821
0.1358,2.9762,2.9234,14.7775,2.5297,76.5641
0.1494,2.9949,2.8869,13.3162,2.5416,77.7101
0.1702,2.9945,2.8116,11.0177,2.5176,78.138
0.1713,2.9832,2.728,9.1933,2.4339,77.9876
0.1679,2.9643,2.6479,9.9607,2.4239,77.5136
0.1716,2.9386,2.5728,10.0185,2.4290000000000003,76.8429
0.1746,2.9088,2.516,9.6848,2.4378,76.2738
0.1606,2.8807,2.4939,10.8964,2.4381,75.939
0.147,2.8616,2.5097,11.7551,2.4304,75.6621
0.1437,2.859,2.5562,11.7943,2.4725,75.2074
0.147,2.8795,2.6289999999999996,9.7029,2.4992,74.8274
0.1487,2.9264,2.7258,8.9082,2.4895,74.561
0.1533,2.9959,2.8323,10.2735,2.484,74.4038
0.1547,3.073,2.9162,10.3294,2.4741,74.509
0.1573,3.1372,2.9485,10.2821,2.4549,74.9368
0.1664,3.1733,2.9302,9.5454,2.4383,75.4168
0.1662,3.1833,2.9032,9.4626,2.4358,75.6382
0.1584,3.1929,2.8946,10.3921,2.4474,75.7621
0.1476,3.2123,2.9099,10.993,2.4713,75.8181
0.1365,3.2482,2.9557,10.1116,2.5068,75.62
0.1286,3.3341,3.0758,8.9529,2.5591,74.8033
0.1102,3.457,3.2736,8.1231,2.5835,72.8483
0.0868,3.5561,3.4923,6.9301,2.5789,69.7722
0.0771,3.5656,3.5752,8.7423,2.5796,65.3087
0.0703,3.5613,3.6216,11.1193,2.5795,62.0361
0.0627,3.4937,3.6036,10.3015,2.5768,60.4463
0.0547,3.3813,3.5163,8.6519,2.5789999999999997,59.8068
0.0466,3.3064,3.5177,6.2571,2.6149,60.1907
0.0488,3.303,3.6891,5.1642,2.6231,60.9503
0.0629,3.3552,3.9955,5.5584,2.6188,62.1917
0.079,3.4151,4.289,5.9986,2.6277,63.3761
0.0866,3.4367,4.3868,5.9837,2.6298,64.0871
0.0837,3.4067,4.2476,5.5871,2.5883,64.4445
